index,achievement_name,achievement_desc,achievement_percentage
1,丁香与醋栗,,63.6%,
2,布拉维坎的屠夫,在 10 秒内杀死 5 名以上的敌人。,53.9%,
3,制药师,学习 12 个魔药配方。,48.3%,
4,南方之星的拳头,在任何一场拳赛中无伤并击败敌人。,46.9%,
5,你碰不到我！,在一场战斗中保持无伤（毒性伤害例外），也不使用昆恩法印来杀死 5 个敌人。,45.1%,
6,书呆子,阅读 30 本书籍、日志或其他文稿。,43.0%,
7,家庭顾问,,40.2%,
8,同床好友,,36.7%,
9,炸弹专家,收集 6 种不同类型的炸弹配方。,35.5%,
10,三重威胁,,33.5%,
11,患难之交,,33.0%,
12,尖叫怪,完成尖叫怪的委托。,33.0%,
13,环境危害,利用四周环境杀死 50 个敌人（例如沼泽毒气、昆虫或物品等）。,31.6%,
14,死灵术,,31.3%,
15,变种人,填满所有突变诱发物能力槽。,27.9%,
16,小心炸弹,利用炸弹摧毁 10 个怪物巢穴。,27.8%,
17,国王推手,,26.7%,
18,未了之事,,26.6%,
19,勇闯天涯,找到 100 个快速移动点。,26.5%,
20,变形怪效应,解决诺维格瑞的变形怪麻烦。,25.9%,
21,封顶至尊,角色等级达到 35 级。,25.7%,
22,三寸之舌,,25.3%,
23,国王已死,,23.8%,
24,通过试炼,以任何难度完成游戏。,23.8%,
25,无畏的吸血鬼杀手,完成色拉斯提的委托。,23.4%,
26,尘归尘,完成泰雷赞恩的委托。,21.0%,
27,全员到齐,,20.3%,
28,鬼才亲他,,20.2%,
29,国境之南,前往陶森特公国。,20.0%,
30,鹿首魔还是敌人？,完成莫伍德的委托。,19.1%,
31,全副武装,找到并装备一整套猎魔人套装。,18.5%,
32,杰洛特与朋友们,只用中立牌赢下一局昆特牌。,17.6%,
33,信守承诺,,17.6%,
34,尽遣王牌,在一局昆特牌里打出 3 张英雄牌，并赢得比赛。,16.6%,
35,打架好手,在拳赛中打败史凯利格冠军 - 奥拉夫。,16.2%,
36,刺王者,,16.2%,
37,突变世代杀人武器,让自己身上出现新突变。,15.7%,
38,打架大师,完成威伦、史凯利格与诺维格瑞的所有拳赛任务。,14.4%,
39,全能庄园改造王,执行所有发展白乌鸦葡萄园的选择。,14.0%,
40,极限滑行,,13.9%,
41,葡萄英雄,获得酿酒葡萄勋章殊荣。,13.9%,
42,林妖,完成林妖的委托。,13.4%,
43,五德化身,从湖中女神手中获得湖女之剑。,12.7%,
44,全能骑士,在骑士比武大赛所有比赛项目中获得完全胜利。,12.1%,
45,昆特牌大师,击败泰伯特，赢得在帕西佛罗拉举办的昆特牌大赛。,11.5%,
46,重现梦魇,,11.4%,
47,杰洛特：猎魔专家,,10.5%,
48,速度与激情,赢得游戏中所有的赛马比赛。,10.4%,
49,公平战斗,杀死一个委托上的两只怪物，不使用法印、魔药、突变诱发物、剑油或炸弹。,10.2%,
50,化解愤怒的葡萄,,10.1%,
51,购物狂,,9.8%,
52,人要衣装,穿戴某一猎魔人学派所有装备，解锁加乘效果。,9.6%,
53,为民除害,摧毁威伦、诺维格瑞地区、或史凯利格的所有怪物巢穴。,9.1%,
54,美好时光,,9.0%,
55,终极收集狂,找到所有猎魔人学派各自的所有宗师级图纸。,7.9%,
56,植树专家,学会一个技能树上的所有技能。,7.5%,
57,昆特成瘾,收集所有史凯利格牌组的卡牌。,7.2%,
58,蔷薇拔刺,,7.1%,
59,坎坷之旅,以“想流点血！”或“死而无愧！”难度通关。,6.8%,
60,大获全胜,以至少 187 的总战力赢得昆特牌局。,5.5%,
61,能量不灭,同时拥有全部可能的魔力之所增益。,5.1%,
62,卡牌收藏家,取得游戏基础版本中的所有昆特牌。,4.8%,
63,凯尔莫罕出品,在不被击中或格挡的情况下，连续打出 10 次有效的反击。,4.1%,
64,醉生梦死,同时让 7 种不同魔药或煎药发挥作用。,3.8%,
65,渡尽劫波,以“死而无憾！”难度通关。,3.6%,
66,物归原主,用敌人射出的箭杀死 3 个弓箭手。,3.4%,
67,残虐至极,用燃烧的敌人来点燃龙之梦炸弹的易燃气体 10 次。,3.1%,
68,虐杀,使一个敌人同时流血、中毒和燃烧，重复 10 次。,2.9%,
69,狱狱寡欢,在陶森特入狱服刑。,2.8%,
70,眼中钉,,2.8%,
71,敌人的敌人,利用亚克席法印迫使一个敌人杀死另一个敌人，完成 20 次。,2.7%,
72,牛牛杀手,,2.6%,
73,独领风骚,搜集所有的欧菲尔护甲和马匹装备，以及至少一把欧菲尔剑。,2.6%,
74,迅雷不及掩耳,,2.6%,
75,以寡敌众,,2.3%,
76,莎唷娜拉,,2.0%,
77,失足致死,用阿尔德法印将 10 个敌人从高处震下并摔死。,1.9%,
78,神射手,用十字弓将 50 个人类和亚人爆头。,1.6%,